Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Circuit Sex and the City à New York,15,"23,60 €",123 voyageurs,"8,30 / 10","Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Anglais,new-york,40.7639186,-73.9748223,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/greenwich-village-nueva-york.jpg
Balade en bateau autour de Manhattan,31,"62,30 €",383 voyageurs,"8,70 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,Anglais,new-york,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/barco-manhattan-completo.jpg
Free tour dans New York,6 414,"41,50 €",57 370 voyageurs,"9,30 / 10",-1,2h30,Anglais,new-york,40.7043347,-74.0138948,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/memorial-9-11.jpg
Carte eSIM avec Internet aux États-Unis,16,Gratuit !,,"6,40 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,-1,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/mujer-trabajo-movil-nueva-york.jpg
Tournée des rooftops de New York,56,"21,20 €",1 020 voyageurs,"6,80 / 10","Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,Anglais,new-york,40.7606465,-73.9883533,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/terraza-lounge-bar.jpg
Excursion à Washington DC depuis New York,47,"74,60 €",451 voyageurs,"8,90 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",15 heures,Français,new-york,40.75769,-73.99166,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/museu-ar-espaco.jpg
Croisière au coucher de soleil,334,"159,60 €",5 114 voyageurs,"8,50 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,Anglais,new-york,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-libertad.jpg
Balade en calèche dans Central Park,14,"41,50 €",270 voyageurs,"7,70 / 10",Non remboursable. Cette activité n'admet pas d'annulation.,45 minutes,-1,new-york,40.766866,-73.979473,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/central-park.jpg
Vol en hélicoptère de nuit à New York,26,"140,70 €",480 voyageurs,"9,30 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",30 minutes,Anglais,new-york,40.6157109,-74.2456057,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/helicotero-nueva-york.jpg
Billet pour Le Fantôme de l'Opéra,265,"230,50 €",2 901 voyageurs,9 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,new-york,40.758526,-73.988142,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/fantasma-opera-1.jpg
The New York Pass®,284,"116,20 €",7 570 voyageurs,"8,60 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour - 10 jours,-1,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-libertad.jpg
Excursion à Philadelphie et dans un comté Amish,14,"134,10 €",169 voyageurs,"8,30 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",14 heures,Français,new-york,40.75763,-73.99158,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/filadelfia.jpg
Billet pour Chicago,78,"159,60 €",712 voyageurs,"9,60 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,new-york,40.761182,-73.987136,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/chicago-1.jpg
"Excursion de 4 jours à Niagara, à Washington et à Philadelphie",-1,"104,80 €",20 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 jours,Français,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/cementerio-arlington.jpg
Billet pour Top of the Rock + Musée du 11-Septembre,6,"741,70 €",263 voyageurs,"7,30 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 jours,-1,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vista-nueva-york-atardecer-top-of-the-rock.jpg
Excursion à vélo dans le Brooklyn insolite,-1,"66,10 €",6 voyageurs,-1,Non remboursable. Cette activité n'admet pas d'annulation.,6 heures,Français,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/bicicleta-brooklin-nueva-york.jpg
Excursion d'une journée à Boston,10,99 €,135 voyageurs,"8,60 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",14 heures,Français,new-york,40.7568546,-73.99146523,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/boston.jpg
Visite privée dans New York,2,"159,60 €",5 voyageurs,10 / 10,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,Français,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/manhattan-paysage.jpg
Visite autour du street art et de la culture hipster à Brooklyn,1,85 €,4 voyageurs,10 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,Français,new-york,40.706633,-73.923184,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/arte-callejero-brooklyn.jpg
Visite des lieux incontournables à New York,-1,49 €,4 voyageurs,-1,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Français,new-york,40.758696,-73.988747,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/central-park.jpg
Excursion de 2 jours à Washington et Philadelphie,-1,"102,90 €",4 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 jours,Français,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/filadelfia.jpg
Visite guidée de New York,7,"354,30 €",66 voyageurs,6 / 10,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",6 heures,Anglais,new-york,40.758709,-73.985228,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/catedral-san-patricio.jpg
Visite de nuit dans New York,6,"84,10 €",53 voyageurs,"9,70 / 10",Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,Anglais,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vistas-manhattan-noche.jpg
Dîner-croisière à New York,288,"51,90 €",3 723 voyageurs,9 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30 - 3h,-1,new-york,40.747537,-74.009272,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/crucero-nocturno-manhattan-nueva-york.jpg
Excursion aux Chutes du Niagara,417,"170,40 €",5 947 voyageurs,"7,70 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",19h - 20h,Anglais,new-york,40.7595892,-73.9846122,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/barco-cataratas-niagara.jpg
Billet pour le Musée de la Ville de New York,-1,"235,20 €",62 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,-1,new-york,40.792646,-73.952167,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/disfrutando-exposicion-museo-nueva-york.jpg
Circuit cinéma à travers les scènes de films et de séries,13,"18,90 €",134 voyageurs,"7,50 / 10",Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,Français,new-york,40.761939,-73.983476,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/empire-state.jpg
"Visite de Lower East Side, Chinatown et Little Italy",-1,"57,60 €",2 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.72361887190441,73.99125536462113,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/street-art-lower-east-side.jpg
Visite à travers les scènes de films et de séries de Central Park,9,49 €,202 voyageurs,"7,30 / 10","Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,Français,new-york,40.7652026,-73.9751271,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/central-park-new-york.jpg
"Visite d'Union Square, de la High Line et de Chelsea",1,34 €,2 voyageurs,10 / 10,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.74213,-73.99122,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/disfrutando-nueva-york.jpg
The Ride Experience,7,"51,90 €",71 voyageurs,"8,60 / 10",Non remboursable. Cette activité n'admet pas d'annulation.,1h15,Anglais,new-york,40.75748,-73.989836,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/diversion-the-ride.jpg
Excursion de 2 jours aux chutes du Niagara,-1,"74,60 €",49 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 jours,Français,new-york,40.75667,-73.99111,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/catarata-niagara-tour-dos-dias.jpg
Billet pour la cathédrale Saint-Patrick avec audioguide,4,"354,30 €",87 voyageurs,6 / 10,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,Français et d'autres langues,new-york,40.7587924,-73.9769005,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/catedral-san-patricio-iluminada.jpg
"Visite du pont de Brooklyn, du quartier DUMBO et Brooklyn Heights",-1,"18,90 €",1 voyageur,-1,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.69975105996872,-73.99121687276364,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vistas-dumbo-atardecer.jpg
Balade en vélo dans Central Park,73,49 €,812 voyageurs,"9,40 / 10","Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,Français,new-york,40.76322,-73.977152,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/tour-central-park-bicicleta.jpg
"Niagara, Toronto, Philadelphie et Washington en 5 jours",-1,"56,50 €",3 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",5 jours,Français,new-york,40.75667,-73.99111,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-lincoln-tour-cuatro-dias.jpg
Visite gastronomique dans Little Italy et Chinatown,1,"892,90 €",10 voyageurs,8 / 10,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 heures,Anglais,new-york,40.71435328229808,-74.00422201897808,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/little-italy-gastronomia.jpg
Déjeuner-croisière au sud de Manhattan,-1,"74,60 €",34 voyageurs,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,-1,new-york,40.747402,-74.008074,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/comida-barco-paseo-nueva-york.jpg
Visite à la découverte des super-héros de New York,-1,"104,80 €",281 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.753213,-73.980282,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/globo-daily-news.jpg
Billet pour Wicked,13,"55,70 €",40 voyageurs,"9,20 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,-1,new-york,40.762361,-73.985344,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/wicked-1.jpg
Circuit sur les pas de la série Les Soprano,1,"144,50 €",484 voyageurs,10 / 10,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,Anglais,new-york,40.7541979,-73.9901121,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/sopranoland.jpg
Billet pour Madame Tussauds,16,68 €,9 voyageurs,"8,90 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,new-york,40.7564504,-73.9887887,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/esculturas-oscars-museo-cera.jpg
Billet pour le Moulin Rouge,1,38 €,111 voyageurs,10 / 10,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h40,-1,new-york,40.759279,-73.9891203,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/teatro-moulin-rouge.jpg
Location de voilier avec capitaine,-1,"103,90 €",13 voyageurs,-1,"Si vous annulez avec plus de 6 jours d’avance, nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2h - 3h,-1,new-york,40.7128,-74.0154611,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/disfrutando-travesia-velero-nueva-york.jpg
Billet pour le Top of The Rock,3,"614,20 €",2 192 voyageurs,"9,30 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,new-york,40.75890959,-73.97901434,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/top-rock-central-park.jpg
Billet pour SPYSCAPE,-1,"41,10 €",12 voyageurs,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,new-york,40.7653131,-73.983746,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/sala-spyscape.jpg
Excursion à Washington DC et Philadelphie,146,"40,10 €",64 voyageurs,"8,20 / 10","Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",17 heures,Anglais et espagnol,new-york,40.759617,-73.984572,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/capitolio-washingtondc.jpg
Visite gastronomique à travers l'East Village,-1,"140,70 €",12 voyageurs,-1,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,Français,new-york,40.734,-73.984722,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/food-tour-new-york-east-village.jpg
Billet pour LEGOLAND New York,-1,69 €,3 voyageurs,-1,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,-1,new-york,41.3827869,-74.3102287,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/dragon-legoland.jpg
The Tour Experience,4,"77,10 €",47 voyageurs,6 / 10,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,Anglais,new-york,40.758275,-73.985669,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/autobus-the-tour.jpg
