Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Location de vélo à New York,74.0,56.6,1 012 voyageurs,9.1,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 24 heures d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour,[-1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/brooklyn-bridge-bicicleta.jpg
Visite de la Statue de la Liberté et Ellis Island,974.0,28.8,11 731 voyageurs,7.8,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,[1],New York,40.703332,-74.014062,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-libertad.jpg
Visite guidée de Harlem avec messe Gospel,40.0,47.9,443 voyageurs,9.2,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,[2],New York,40.758379,-73.988866,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/misa-gospel-harlem.jpg
Circuit sur les traces de Gossip Girl,3.0,70.8,143 voyageurs,8.7,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 heures,[1],New York,40.7578484,-73.9756912,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/gossip-girl.jpg
New York CityPASS,58.0,62.3,2 204 voyageurs,8.8,Non remboursable. Cette activité n'admet aucune annulation ou modification.,9 jours,[-1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/tarjeta-new-york-city-pass.jpg
Billet pour les New York Yankees,-1.0,121.8,36 voyageurs,-1.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[-1],New York,40.829571,-73.926128,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/yankee-statium.jpg
Billet pour le MoMA,92.0,34.0,2 067 voyageurs,8.7,"Si vous annulez juste après avoir réservé, nous vous rembourserons 100% du montant total. Si vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],New York,40.7613964,-73.9768106,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/van-gogh-moma.jpg
Circuit Sex and the City à New York,15.0,23.6,123 voyageurs,8.3,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[1],New York,40.7639186,-73.9748223,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/greenwich-village-nueva-york.jpg
Balade en bateau autour de Manhattan,31.0,62.3,383 voyageurs,8.7,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[1],New York,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/barco-manhattan-completo.jpg
Free tour dans New York,6414.0,41.5,57 370 voyageurs,9.3,-1,2h30,[1],New York,40.7043347,-74.0138948,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/memorial-9-11.jpg
Carte eSIM avec Internet aux États-Unis,16.0,0.0,,6.4,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,[-1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/mujer-trabajo-movil-nueva-york.jpg
Tournée des rooftops de New York,56.0,21.2,1 020 voyageurs,6.8,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,[1],New York,40.7606465,-73.9883533,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/terraza-lounge-bar.jpg
Excursion à Washington DC depuis New York,47.0,74.6,451 voyageurs,8.9,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",15 heures,[2],New York,40.75769,-73.99166,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/museu-ar-espaco.jpg
Croisière au coucher de soleil,334.0,159.6,5 114 voyageurs,8.5,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,[1],New York,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-libertad.jpg
Balade en calèche dans Central Park,14.0,41.5,270 voyageurs,7.7,Non remboursable. Cette activité n'admet pas d'annulation.,45 minutes,[-1],New York,40.766866,-73.979473,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/central-park.jpg
