Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Visite privée dans New York à vélo,-1.0,93.5,2 275 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,[2],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/brooklyn-bridge-bike.jpg
Visite à la découverte du Sud de Manhattan,-1.0,187.0,20 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.703514,-74.01084,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/fearlessgirl-manhattan-nueva-york.jpg
"Visite guidée de SoHo, Greenwich Village et Meatpacking District",-1.0,51.9,315 voyageurs,-1.0,"Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.72199501008664,-73.99734288625493,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/tienda-musica-alternativa.jpg
Visite de Central Park en trottinette électrique,4.0,49.0,2 voyageurs,5.5,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,[2],New York,40.7664739,-73.9800485,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/puente-bow-central-park.jpg
Visite de nuit en bus à toit ouvert,43.0,53.8,1 667 voyageurs,7.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1h30,[2],New York,40.760232,-73.984437,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/times-square-noche.jpg
Billet pour la NBA : New York Knicks,87.0,41.6,64 voyageurs,9.0,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,[-1],New York,40.7505085,-73.9956274,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/madison-square-garden-knicks.jpg
Billet pour Le Roi Lion,218.0,114.5,97 voyageurs,9.6,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[-1],New York,40.757797,-73.986408,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/rey-leon-3.jpg
Billet pour le Radio City Music Hall,3.0,164.1,9 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],New York,40.761124,-73.981907,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/exterior-radio-city-music-hall.jpg
Messe Gospel dans Harlem,21.0,29.2,567 voyageurs,7.4,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 heure,[1],New York,40.809216,-73.947325,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/misa-gospel-interior.jpg
Visite à la découverte de l'ambiance de Noël à Brooklyn,-1.0,28.3,2 726 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.704205,-73.986455,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/iluminacion-navidad-casas-brooklyn.jpg
Billet pour Aladdin,136.0,51.9,1 304 voyageurs,9.5,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[-1],New York,40.756095,-73.98787,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/aladdin-1.jpg
Billet pour les New York Rangers,4.0,131.1,28 voyageurs,10.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[-1],New York,40.7505085,-73.9956274,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/madison-square-garden-rangers.jpg
Billet pour Harry Potter et l'Enfant maudit,-1.0,262.2,61 voyageurs,-1.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,5h20,[-1],New York,40.7570589,-73.9877576,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/escenas-harry-potter-legado-maldito.jpg
Excursion à Boston + Shopping dans les outlets de New York,5.0,188.0,173 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",18 heures,"[1, 3]",New York,40.758182,-73.989075,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vista-rascacielos-boston.jpg
Balade en bateau à New York,-1.0,155.9,263 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1h30,[1],New York,40.7012113,-74.0155982,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vista-aerea-ellis-island-nueva-york.jpg
Visite dans le Queens,-1.0,47.2,,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.760032,-73.830308,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/murales-barrio-queens.jpg
Visite du Madison Square Garden,39.0,51.9,7 922 voyageurs,8.3,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],New York,40.750827,-73.99436,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/exterior-cancha-madison-square-garden.jpg
Mariage avec Elvis à Las Vegas,259.0,33.0,550 voyageurs,9.1,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/boda-las-vegas-elvis.jpg
Battlefield Shooting Experience,169.0,204.1,22 voyageurs,9.7,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/battlefield-civitatis.jpg
Excursion à Horseshoe Bend et à l'Antelope Canyon X,-1.0,108.6,19 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",13 heures,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/canon-antilope-x.jpg
V - The Ultimate Variety Show,1.0,178.5,2 506 voyageurs,10.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,[-1],Las Vegas,36.113854,-115.177358,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/acrobacia-v-variety-show.jpg
Pass Go City Las Vegas Explorer,6.0,65.6,2 voyageurs,8.3,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/bus-vegas.jpg
Excursion au Grand Canyon rive ouest,40.0,55.7,306 voyageurs,9.5,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",9h - 11h,[2],Las Vegas,36.09562,-115.17606,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/skywalk-civitatis.jpg
Carte eSIM avec Internet aux États-Unis,16.0,34.5,7 330 voyageurs,6.4,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/mujer-trabajo-movil-nueva-york.jpg
Offre : Grand Canyon + Las Vegas,368.0,216.3,296 voyageurs,9.7,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",12h - 14h,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/excursion-gran-canon-colorado.jpg
Excursion à Antelope Canyon,43.0,21.2,8 voyageurs,7.4,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",12 heures,[2],Las Vegas,36.0954885,-115.176187,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/canon-antilope-luz.jpg
Billet pour Madame Tussauds,1.0,212.6,428 voyageurs,10.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,-1,[-1],Las Vegas,36.1212352,-115.1715527,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/drake-madame-tussauds.jpg
Circuit de 3 jours dans le désert de l'Arizona,-1.0,197.4,533 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 jours,[2],Las Vegas,36.0959041,-115.1762217,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/vista-canon-antilope-arizona.jpg
Excursion complète au Grand Canyon en avion de tourisme,219.0,34.9,161 voyageurs,8.7,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/vistas-gran-canon.jpg
Excursion à la Vallée de la Mort,-1.0,557.5,285 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/museo-borax-valle-muerte.jpg
Go City : Las Vegas All-Inclusive Pass,17.0,315.6,10 voyageurs,9.4,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 jours - 5 jours,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/high-roller-vistas.jpg
Visite de nuit dans Las Vegas,884.0,244.7,10 voyageurs,9.3,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/cartel-las-vegas-nevada.jpg
"Billets pour Michael Jackson ONE, Cirque du Soleil",11.0,112.4,338 voyageurs,8.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[-1],Las Vegas,36.0918777,-115.175245,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/acrobacias-michael.jpg
Vol en avion de voltige,1.0,60.4,3 voyageurs,10.0,Non remboursable. Cette activité n'admet pas d'annulation.,-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/avion-acrobatico.jpg
Bus touristique de Las Vegas,20.0,131.1,98 voyageurs,5.5,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/bus-turistico-las-vegas.jpg
Balade en avion de tourisme au-dessus du Grand Canyon,30.0,343.9,15 voyageurs,9.1,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,"[2, -1]",Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/foto-interior-avioneta-gran-canon.jpg
"Billets pour O, Cirque du Soleil",5.0,42.5,31 voyageurs,8.4,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[-1],Las Vegas,36.112001,-115.175285,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/o-show-cirque-du-soleil.jpg
Mariage au Grand Canyon + Hélicoptère,-1.0,197.4,140 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre, nous vous rembourserons à hauteur de 50%. Si vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/gran-canon-panoramica.jpg
Circuit de 4 jours à la vallée de la Mort et à Yosemite jusqu'à San Francisco,-1.0,154.2,147 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 jours,[2],Las Vegas,36.1126822,-115.1632191,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/marmota-yosemite.jpg
Excursion à la South Rim en avion de tourisme,21.0,3704.0,6 voyageurs,9.2,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/south-rim.jpg
Excursion à Disneyland California,-1.0,751.2,884 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/cars-land-disneyland-california.jpg
Mariage dans la Vallée du Feu,-1.0,547.1,292 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre, nous vous rembourserons à hauteur de 50%. Si vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/novia-valle-fuego.jpg
Billet pour le spectacle de magie de Nathan Burton,-1.0,424.2,24 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,[-1],Las Vegas,36.11068,-115.1689233,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/show-magia-vegas.jpg
Excursion libre à Boulder City,-1.0,1196.0,7 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/boulder-city.jpg
Vol en hélicoptère à Las Vegas,33.0,39.1,49 voyageurs,9.4,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/salir-de-fiesta.jpg
Excursion de 3 jours au Grand Canyon et en Utah,-1.0,23.6,153 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 14 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 jours,[2],Las Vegas,36.1470343,-115.1553887,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/parque-nacional-zion-utah.jpg
Cours de pole dance à Las Vegas,-1.0,136.0,5 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,[-1],Las Vegas,36.11068,-115.1689233,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/amigas-clase-pole-dance-stripper-101.jpg
Excursion shopping privée à North Premium Outlets,4.0,656.7,26 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/las-vegas-premium-outlets.jpg
Billet pour le Mob Museum,-1.0,56.1,21 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Las Vegas,36.1727989,-115.1413454,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/subfusil-thompson.jpg
Excursion au canyon de Zion,1.0,165.3,5 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 24 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",10 heures,[2],Las Vegas,36.0969,-115.17582,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/canon-zion.jpg
"Billets pour KÀ, Cirque du Soleil",10.0,28.3,,9.2,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[-1],Las Vegas,36.102593,-115.170676,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/puesta-escena-espectaculo-ka.jpg
Billet pour Vegas! The Show,10.0,197.4,19 voyageurs,9.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[-1],Las Vegas,36.109168,-115.168949,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/Kj2lX7nu1pwOYfU.jpg
Excursion à Universal Studios Hollywood,-1.0,130.0,57 voyageurs,-1.0,"Si vous annulez avec plus de 7 jours d’avance, vous aurez à payer une pénalité de 159 US$ (150,20 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/universal-studios-hollywood.jpg
Excursion à Bryce Canyon et Zion Canyon,-1.0,70.3,18 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",13 heures,[1],Las Vegas,36.1241092,-115.1726084,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/ver-canon-zion.jpg
Excursion au Grand Canyon en hélicoptère,59.0,480.9,151 voyageurs,9.2,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/en-helicoptero.jpg
"Billets pour LOVE, Cirque du Soleil",16.0,93.5,54 voyageurs,9.4,Non remboursable. Cette activité n'admet pas d'annulation.,1h30,[-1],Las Vegas,36.12122,-115.173454,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/love-beatles.jpg
Combat aérien en avion acrobatique,-1.0,499.8,19 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/combate-aereo.jpg
Billet pour Zombie Burlesque,-1.0,135.5,110 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,[-1],Las Vegas,36.113854,-115.177358,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/zombie-burlesque-cabaret-vegas.jpg
Universal Studios Hollywood + Disneyland California en 2 jours,-1.0,1014.0,7 voyageurs,-1.0,"Si vous annulez avec plus de 7 jours d’avance, vous aurez à payer une pénalité de 159 US$ (150,20 €). Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/zona-simpsons-universal-studios-hollywood.jpg
The Invictus Experience : espionnage à Las Vegas,-1.0,56.1,5 voyageurs,-1.0,"Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/sastre-lujo-invictus-experience.jpg
Randonnée dans la Valley of Fire,1.0,896.7,14 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/atardecer-senderismo-valle-fuego.jpg
Tir en hélicoptère,-1.0,2074.0,139 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre, nous vous rembourserons à hauteur de 100%. Si vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4h - 6h,[1],Las Vegas,35.8449215,-115.5574254,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/mujer-disparando-helicoptero-objetivo.jpg
Circuit gastronomique de luxe à Las Vegas,-1.0,112.4,37 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,[1],Las Vegas,36.107257,-115.175954,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/comida-lujo-las-vegas.jpg
Excursion au Grand Canyon au coucher de soleil,3.0,614.2,9 voyageurs,9.3,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/valle-fuego-atardecer.jpg
"Billet pour Mystère, Cirque du Soleil",7.0,188.0,33 voyageurs,8.6,Non remboursable. Cette activité n'admet aucune annulation ou modification.,1h30,[-1],Las Vegas,36.124582,-115.170676,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/puesta-escena-mystere.jpg
Balade à vélo électrique au canyon Red Rock,-1.0,528.2,60 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/canon-red-rock.jpg
Circuit de 7 jours de Las Vegas à San Francisco,-1.0,117.9,2 559 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",7 jours,[2],Las Vegas,36.1474931,-115.1566671,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/tunel-arbol-yosemite.jpg
Visite de nuit en bus à toit ouvert,-1.0,107.7,2 452 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3 heures,[1],Las Vegas,36.11721327,-115.1679588,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/las-vegas.jpg
Excursion de 2 jours au Grand Canyon et à Horseshoe Bend,-1.0,1573.0,602 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/mirador-gran-canon.jpg
Billet pour Beatleshow,2.0,47.2,1 356 voyageurs,10.0,Non remboursable. Cette activité n'admet pas d'annulation.,1h15,[-1],Las Vegas,36.1091693,-115.1711457,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/beatleshow.jpg
Vol en apesanteur,-1.0,292.9,31 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,[1],Las Vegas,36.0840912,-115.1532053,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/grupo-vuelo-gravedad-cero-las-vegas.jpg
Visite du Parc national de Zion,-1.0,75.5,8 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",13 heures,[1],Las Vegas,36.2057143,-115.1548737,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/zion-canyon-walls.jpg
"Circuit de 7 jours à Yellowstone, les Rocheuses, Bryce Canyon et Grand Teton",-1.0,7748.0,8 225 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",7 jours,[2],Las Vegas,36.1126822,-115.1632191,https://cdn2.civitatis.com/estados-unidos/las-vegas/galeria/manada-bisontes-yellowstone.jpg
Balade en bateau dans le port de Boston,-1.0,121.8,,-1.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,1 heure,[1],Boston,42.3597895,-71.0507847,https://cdn2.civitatis.com/estados-unidos/boston/galeria/barco-paseo-puerto-boston.jpg
Billet pour le Boston Tea Party Ships & Museum,-1.0,1455.0,22 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,-1,[-1],Boston,42.35210321,-71.05133873,https://cdn2.civitatis.com/estados-unidos/boston/galeria/boston-tea-party-ship-museum.jpg
Carte eSIM avec Internet aux États-Unis,16.0,40.1,122 voyageurs,6.4,Non remboursable. Cette activité n'admet aucune annulation ou modification.,10 jours - 30 jours,[-1],Boston,42.3630547,-71.0664598,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/mujer-trabajo-movil-nueva-york.jpg
Visite guidée du MIT,-1.0,30.1,6 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1h10,[1],Boston,42.3640655,-71.0952352,https://cdn2.civitatis.com/estados-unidos/boston/galeria/great-dome-mit.jpg
Go City Boston Explorer Pass,2.0,21.2,5 voyageurs,9.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],Boston,42.3630547,-71.0664598,https://cdn2.civitatis.com/estados-unidos/boston/galeria/detalle-go-city-boston-explorer-pass.jpg
